Approved Symbol	Approved Name	Previous Symbols	Previous Names	Synonyms	Name Synonyms	Ensembl ID(supplied by Ensembl)
ACOT7	acyl-CoA thioesterase 7			BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH	"brain acyl CoA hydrolase"	ENSG00000097021
ACOT8	acyl-CoA thioesterase 8	PTE1	"peroxisomal acyl-CoA thioesterase", "peroxisomal acyl-CoA thioesterase 1"	hACTE-III, hTE, PTE-2	"choloyl-CoA hydrolase"	ENSG00000101473
ACOT9	acyl-CoA thioesterase 9			CGI-16, MT-ACT48, ACATE2		ENSG00000123130
ACOT11	acyl-CoA thioesterase 11	THEA	"thioesterase, adipose associated"	STARD14, BFIT, KIAA0707, BFIT1, THEM1	"StAR-related lipid transfer (START) domain containing 14"	ENSG00000162390
ACOT12	acyl-CoA thioesterase 12			Cach, THEAL, STARD15	"StAR-related lipid transfer (START) domain containing 15"	ENSG00000172497
ACOT13	acyl-CoA thioesterase 13	THEM2	"thioesterase superfamily member 2"	HT012		ENSG00000112304
ACOX1	acyl-CoA oxidase 1, palmitoyl		"acyl-Coenzyme A oxidase 1, palmitoyl"	PALMCOX		ENSG00000161533
ACOX2	acyl-CoA oxidase 2, branched chain		"acyl-Coenzyme A oxidase 2, branched chain"	BRCACOX, BRCOX, THCCox	"trihydroxycoprostanoyl-CoA oxidase", "3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholestanoyl-CoA 24-hydroxylase"	ENSG00000168306
ACOX3	acyl-CoA oxidase 3, pristanoyl		"acyl-Coenzyme A oxidase 3, pristanoyl"			ENSG00000087008
ACOXL	acyl-CoA oxidase-like		"acyl-Coenzyme A oxidase-like"	FLJ11042		ENSG00000153093
ACP1	acid phosphatase 1, soluble					ENSG00000143727
ACP2	acid phosphatase 2, lysosomal					ENSG00000134575
ACP5	acid phosphatase 5, tartrate resistant			TRAP	"tartrate-resistant acid phosphatase"	ENSG00000102575
ACP6	acid phosphatase 6, lysophosphatidic			LPAP, ACPL1		ENSG00000162836
ACPL2	acid phosphatase-like 2			FLJ23751		ENSG00000155893
ACPP	acid phosphatase, prostate			ACP3, ACP-3		ENSG00000014257
ACPT	acid phosphatase, testicular					ENSG00000142513
ACR	acrosin				"preproacrosin", "acrosin light and heavy chain prepropeptide"	ENSG00000100312
ACRBP	acrosin binding protein			SP32, OY-TES-1, CT23	"proacrosin binding protein sp32", "cancer/testis antigen 23"	ENSG00000111644
ACRC	acidic repeat containing					ENSG00000147174
ACRV1	acrosomal vesicle protein 1			SPACA2, SP-10, D11S4365	"sperm protein 10"	ENSG00000134940
ACS3~withdrawn	symbol withdrawn, see TWIST1					
ACSBG1	acyl-CoA synthetase bubblegum family member 1			BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG	"bubblegum", "very long-chain acyl-CoA synthetase", "lipidosin"	ENSG00000103740
ACSBG2	acyl-CoA synthetase bubblegum family member 2			BGR, PRTD-NY3, DKFZp434K1635	"bubblegum related protein"	ENSG00000130377
ACSF2	acyl-CoA synthetase family member 2			FLJ20920, ACSMW		ENSG00000167107
ACSF3	acyl-CoA synthetase family member 3				"malonyl-CoA synthetase"	ENSG00000176715
ACSL1	acyl-CoA synthetase long-chain family member 1	FACL2	"fatty-acid-Coenzyme A ligase, long-chain 2"	LACS2, LACS, ACS1, LACS1, FACL1	"lignoceroyl-CoA synthase", "long-chain fatty-acid-coenzyme A ligase 1"	ENSG00000151726
ACSL3	acyl-CoA synthetase long-chain family member 3	FACL3	"fatty-acid-Coenzyme A ligase, long-chain 3"	ACS3, PRO2194		ENSG00000123983
ACSL4	acyl-CoA synthetase long-chain family member 4	FACL4, MRX63, MRX68	"fatty-acid-Coenzyme A ligase, long-chain 4", "mental retardation, X-linked 63", "mental retardation, X-linked 68"	ACS4, LACS4	"lignoceroyl-CoA synthase", " long-chain fatty-acid-Coenzyme A ligase 4"	ENSG00000068366
ACSL5	acyl-CoA synthetase long-chain family member 5	FACL5	"fatty-acid-Coenzyme A ligase, long-chain 5"	ACS5, ACS2	"FACL5 for fatty acid coenzyme A ligase 5", "long-chain acyl-CoA synthetase 5", "long-chain fatty acid coenzyme A ligase 5", "fatty-acid-Coenzyme A ligase, long-chain 5"	ENSG00000197142
ACSL6	acyl-CoA synthetase long-chain family member 6	FACL6	"fatty-acid-Coenzyme A ligase, long-chain 6"	KIAA0837, ACS2, LACS5, LACS2		ENSG00000164398
ACSM1	acyl-CoA synthetase medium-chain family member 1	BUCS1	"butyryl Coenzyme A synthetase 1"	MACS1		ENSG00000166743
ACSM2A	acyl-CoA synthetase medium-chain family member 2A	ACSM2	"acyl-CoA synthetase medium-chain family member 2"	A-923A4.1, MGC150530		ENSG00000183747
ACSM2B	acyl-CoA synthetase medium-chain family member 2B	ACSM2	"acyl-CoA synthetase medium-chain family member 2"	HXMA, HYST1046	"xenobiotic/medium chain fatty acid:CoA ligase"	ENSG00000066813
ACSM3	acyl-CoA synthetase medium-chain family member 3	SAH	"SA (rat hypertension-associated) homolog", "SA hypertension-associated homolog (rat)"	SA		ENSG00000005187
ACSM4	acyl-CoA synthetase medium-chain family member 4				"similar to olfactory specific medium-chain acyl CoA synthetase"	ENSG00000215009
ACSM5	acyl-CoA synthetase medium-chain family member 5			FLJ20581		ENSG00000183549
ACSS1	acyl-CoA synthetase short-chain family member 1	ACAS2L	"acetyl-Coenzyme A synthetase 2 (AMP forming)-like"	dJ568C11.3, AceCS2L, MGC33843		ENSG00000154930
ACSS2	acyl-CoA synthetase short-chain family member 2	ACAS2	"acetyl-Coenzyme A synthetase 2 (ADP forming)"	ACS, ACSA, AceCS, dJ1161H23.1		ENSG00000131069
ACSS3	acyl-CoA synthetase short-chain family member 3			FLJ21963		ENSG00000111058
ACTA1	actin, alpha 1, skeletal muscle	ACTA		NEM3	"nemaline myopathy type 3"	ENSG00000143632
ACTA2	actin, alpha 2, smooth muscle, aorta			ACTSA		ENSG00000107796
ACTA2-AS1	ACTA2 antisense RNA 1					ENSG00000180139
ACTA3~withdrawn	symbol withdrawn, see ACTG2					
ACTB	actin, beta					ENSG00000075624
ACTBL2	actin, beta-like 2			DKFZp686D0972		ENSG00000169067
ACTBP1	actin, beta pseudogene 1					ENSG00000229145
ACTBP2	actin, beta pseudogene 2					ENSG00000213763
ACTBP3	actin, beta pseudogene 3					
ACTBP4	actin, beta pseudogene 4					
ACTBP5~withdrawn	entry withdrawn					
ACTBP6	actin, beta pseudogene 6					ENSG00000203413
ACTBP7	actin, beta pseudogene 7					ENSG00000185607
ACTBP8	actin, beta pseudogene 8			ACTBP2		ENSG00000220267
ACTBP9	actin, beta pseudogene 9					ENSG00000266920
ACTBP10	actin, beta pseudogene 10					
ACTBP11	actin, beta pseudogene 11					ENSG00000188460
ACTBP12	actin, beta pseudogene 12	ACTGP5	"actin, gamma pseudogene 5"			ENSG00000233125
ACTBP13	actin, beta pseudogene 13					ENSG00000234667
ACTBP14	actin, beta pseudogene 14					ENSG00000229001
ACTC1	actin, alpha, cardiac muscle 1	ACTC	"actin, alpha, cardiac muscle"	CMD1R		ENSG00000159251
ACTG1	actin, gamma 1	ACTG, DFNA20, DFNA26	"deafness, autosomal dominant 20; deafness, autosomal dominant 26"			
ACTG1P1	actin, gamma 1 pseudogene 1	ACTGP1, ACT1GP1	"actin, gamma pseudogene 1"			ENSG00000178631
ACTG1P2	actin, gamma 1 pseudogene 2	ACTL2, ACTGP2	"actin, gamma pseudogene 2"			ENSG00000229129
ACTG1P3	actin, gamma 1 pseudogene 3	ACTGP3	"actin, gamma pseudogene 3"			ENSG00000215388
ACTG1P4	actin, gamma 1 pseudogene 4	ACTGP4	"actin, gamma pseudogene 4"			ENSG00000236085
ACTG1P6	actin, gamma 1 pseudogene 6	ACTGP6	"actin, gamma pseudogene 6"			
ACTG1P7	actin, gamma 1 pseudogene 7	ACTGP7	"actin, gamma pseudogene 7"			
ACTG1P8	actin, gamma 1 pseudogene 8	ACTGP8	"actin, gamma pseudogene 8"			
ACTG1P9	actin, gamma 1 pseudogene 9	ACTGP9	"actin, gamma pseudogene 9"			ENSG00000229349
ACTG1P10	actin, gamma 1 pseudogene 10	ACTL1, ACTGP10	"actin-like 1", "actin, gamma pseudogene 10"			
ACTG1P11	actin, gamma 1 pseudogene 11					ENSG00000229465
ACTG1P12	actin, gamma 1 pseudogene 12					ENSG00000226642
ACTG1P13	actin, gamma 1 pseudogene 13					ENSG00000241305
ACTG2	actin, gamma 2, smooth muscle, enteric	ACTL3, ACTA3		ACTSG		ENSG00000163017
ACTL2~withdrawn	symbol withdrawn, see ACTG1P2					
ACTL3~withdrawn	symbol withdrawn, see ACTG2					
ACTL4~withdrawn	entry withdrawn					
ACTL5~withdrawn	entry withdrawn					
ACTL6A	actin-like 6A			Actl6, BAF53A, Arp4, Baf53a, INO80K	"BAF complex 53 kDa subunit", "BRG1-associated factor", "actin-related protein 4", "INO80 complex subunit K"	ENSG00000136518
ACTL6B	actin-like 6B	ACTL6	"actin-like 6"	BAF53B		ENSG00000077080
ACTL7A	actin-like 7A					ENSG00000187003
ACTL7B	actin-like 7B			Tact1		ENSG00000148156
ACTL8	actin-like 8			CT57	"cancer/testis antigen 57"	ENSG00000117148
ACTL9	actin-like 9			MGC33407		
ACTL10	actin-like 10	C20orf134	"chromosome 20 open reading frame 134"			ENSG00000182584
ACTN1	actinin, alpha 1					ENSG00000072110
ACTN1-AS1	ACTN1 antisense RNA 1	C14orf84	"chromosome 14 open reading frame 84", "ACTN1 antisense RNA 1 (non-protein coding)"			ENSG00000259062
ACTN2	actinin, alpha 2					ENSG00000077522
ACTN3	actinin, alpha 3 (gene/pseudogene)		"actinin, alpha 3"			ENSG00000248746
ACTN4	actinin, alpha 4	FSGS1	"focal segmental glomerulosclerosis 1"			ENSG00000130402
ACTN4P1	actinin, alpha 4 pseudogene 1					ENSG00000213493
ACTN4P2	actinin, alpha 4 pseudogene 2					ENSG00000214141
ACTR1A	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)		"ARP1 (actin-related protein 1, yeast) homolog A (centractin alpha)"	ARP1		ENSG00000138107
ACTR1B	ARP1 actin-related protein 1 homolog B, centractin beta (yeast)	CTRN2	"ARP1 (actin-related protein 1, yeast) homolog B (centractin beta)"			ENSG00000115073
ACTR2	ARP2 actin-related protein 2 homolog (yeast)		"ARP2 (actin-related protein 2, yeast) homolog"	ARP2		ENSG00000138071
ACTR3	ARP3 actin-related protein 3 homolog (yeast)		"ARP3 (actin-related protein 3, yeast) homolog"	ARP3		ENSG00000115091
ACTR3B	ARP3 actin-related protein 3 homolog B (yeast)			ARP11, ARP3beta		ENSG00000133627
ACTR3BP1	ACTR3B pseudogene 1		"ARP3 actin-related protein 3 homolog B (yeast) pseudogene 1"			
ACTR3BP2	ACTR3B pseudogene 2		"ARP3 actin-related protein 3 homolog B (yeast) pseudogene 2"	FKSG73		ENSG00000226481
ACTR3BP3	ACTR3B pseudogene 3		"ARP3 actin-related protein 3 homolog B (yeast) pseudogene 3"			ENSG00000260327
ACTR3BP4	ACTR3B pseudogene 4		"ARP3 actin-related protein 3 homolog B (yeast) pseudogene 4"			ENSG00000249283
ACTR3BP5	ACTR3B pseudogene 5		"ARP3 actin-related protein 3 homolog B (yeast) pseudogene 5"			ENSG00000227264
ACTR3BP6	ACTR3B pseudogene 6		"ARP3 actin-related protein 3 homolog B (yeast) pseudogene 6"			ENSG00000226444
ACTR3C	ARP3 actin-related protein 3 homolog C (yeast)			ARP11		ENSG00000106526
ACTR3P1	ACTR3 pseudogene 1		"ARP3 actin-related protein 3 homolog (yeast) pseudogene 1"			
ACTR3P2	ACTR3 pseudogene 2		"ARP3 actin-related protein 3 homolog (yeast) pseudogene 2"			ENSG00000232267
ACTR3P3	ACTR3 pseudogene 3		"ARP3 actin-related protein 3 homolog (yeast) pseudogene 3"			ENSG00000242573
ACTR5	ARP5 actin-related protein 5 homolog (yeast)		"ARP5 (actin-related protein 5, yeast) homolog"	FLJ12785, Arp5, INO80M	"INO80 complex subunit M"	ENSG00000101442
ACTR6	ARP6 actin-related protein 6 homolog (yeast)			ARP6, FLJ13433		ENSG00000075089
ACTR6P1	ACTR6 pseudogene 1		"ARP6 actin-related protein 6 homolog (yeast) pseudogene 1"			ENSG00000248915
ACTR8	ARP8 actin-related protein 8 homolog (yeast)		"ARP8 (actin-related protein 8, yeast) homolog"	INO80N	"INO80 complex subunit N"	ENSG00000113812
ACTR10	actin-related protein 10 homolog (S. cerevisiae)			HARP11, ACTR11, Arp11		ENSG00000131966
ACTRT1	actin-related protein T1			AIP1, KIAA0705, ARIP1, Arp-T1		ENSG00000123165
ACTRT2	actin-related protein T2			Arp-T2, ARPM2, FLJ25424		ENSG00000169717
ACTRT3	actin-related protein T3			ARPM1	"actin related protein M1"	ENSG00000184378
ACVR1	activin A receptor, type I	ACVRLK2		SKR1, ALK2, ACVR1A		ENSG00000115170
ACVR1B	activin A receptor, type IB	ACVRLK4		ALK4, SKR2, ActRIB		ENSG00000135503
ACVR1C	activin A receptor, type IC			ALK7, ACVRLK7		ENSG00000123612
ACVR2A	activin A receptor, type IIA	ACVR2	"activin A receptor, type II"	ACTRII		ENSG00000121989
ACVR2B	activin A receptor, type IIB			ActR-IIB		ENSG00000114739
ACVR2B-AS1	ACVR2B antisense RNA 1		"ACVR2B antisense RNA 1 (non-protein coding)"			ENSG00000229589
ACVRL1	activin A receptor type II-like 1	ACVRLK1, ORW2		HHT2, ALK1, HHT		ENSG00000139567
ACVRLK2~withdrawn	symbol withdrawn, see ACVR1					
ACY1	aminoacylase 1					ENSG00000243989
ACY1L~withdrawn	symbol withdrawn, see CCDC102B					
ACY3	aspartoacylase (aminocyclase) 3			HCBP1, MGC9740, ACY-3		ENSG00000132744
ACYP1	acylphosphatase 1, erythrocyte (common) type					ENSG00000119640
ACYP2	acylphosphatase 2, muscle type					ENSG00000170634
AD1~withdrawn	symbol withdrawn, see APP					
AD2~withdrawn	symbol withdrawn, see APOE					
AD3~withdrawn	symbol withdrawn, see PSEN1					
AD4~withdrawn	symbol withdrawn, see PSEN2					
AD5	Alzheimer disease 5					
ADA	adenosine deaminase					ENSG00000196839
ADAD1	adenosine deaminase domain containing 1 (testis-specific)			Tenr		ENSG00000164113
ADAD1P1	adenosine deaminase domain containing 1 (testis-specific) pseudogene 1					
ADAD1P2	adenosine deaminase domain containing 1 (testis-specific) pseudogene 2					ENSG00000267511
ADAD2	adenosine deaminase domain containing 2			TENRL, FLJ00337		ENSG00000140955
ADAL	adenosine deaminase-like					ENSG00000168803
ADAM1A	ADAM metallopeptidase domain 1A, pseudogene	ADAM1	"a disintegrin and metalloproteinase domain 1 (fertilin alpha) pseudogene", "ADAM metallopeptidase domain 1, pseudogene"	FTNAP, PH-30a, Ftna, ADAM1P	"fertilin alpha"	ENSG00000229186
ADAM1B	ADAM metallopeptidase domain 1B, pseudogene					ENSG00000226469
ADAM2	ADAM metallopeptidase domain 2	FTNB	"fertilin beta"	PH-30b, PH30, CT15	"cancer/testis antigen 15"	ENSG00000104755
ADAM3A	ADAM metallopeptidase domain 3A (pseudogene)	CYRN1	"cyritestin 1", "a disintegrin and metalloproteinase domain 3a (cyritestin 1)", "ADAM metallopeptidase domain 3A, pseudogene", "ADAM metallopeptidase domain 3A"	ADAM3, tMDCI		ENSG00000197475
ADAM3B	ADAM metallopeptidase domain 3B (pseudogene)	CYRN2	"a disintegrin and metalloproteinase domain 3b (cyritestin 2)", "ADAM metallopeptidase domain 3B (non-functional)"		"cyritestin 2"	ENSG00000260089
ADAM5	ADAM metallopeptidase domain 5, pseudogene	ADAM5P	"a disintegrin and metalloproteinase domain 5"	tMDCII		ENSG00000196115
ADAM6	ADAM metallopeptidase domain 6, pseudogene	C14orf96	"chromosome 14 open reading frame 96", "a disintegrin and metalloproteinase domain 6", "ADAM metallopeptidase domain 6"	tMDCIV		ENSG00000233988
ADAM7	ADAM metallopeptidase domain 7		"a disintegrin and metalloproteinase domain 7"	GP-83, EAPI		ENSG00000069206
ADAM8	ADAM metallopeptidase domain 8		"a disintegrin and metalloproteinase domain 8"	CD156, MS2		ENSG00000151651
ADAM9	ADAM metallopeptidase domain 9	CORD9	"a disintegrin and metalloproteinase domain 9 (meltrin gamma)", "cone rod dystrophy 9"	MDC9, KIAA0021, MCMP, Mltng	"meltrin gamma"	ENSG00000168615
ADAM10	ADAM metallopeptidase domain 10		"a disintegrin and metalloproteinase domain 10"	kuz, MADM, HsT18717, CD156c		ENSG00000137845
ADAM11	ADAM metallopeptidase domain 11	MDC	"a disintegrin and metalloproteinase domain 11"		"metalloproteinase-like, disintegrin-like, cysteine-rich protein"	ENSG00000073670
ADAM12	ADAM metallopeptidase domain 12		"a disintegrin and metalloproteinase domain 12 (meltrin alpha)"	MCMPMltna, MLTN	"meltrin alpha"	ENSG00000148848
ADAM12-OT1~withdrawn	entry withdrawn					
ADAM15	ADAM metallopeptidase domain 15		"a disintegrin and metalloproteinase domain 15 (metargidin)"	MDC15	"metargidin"	ENSG00000143537
ADAM17	ADAM metallopeptidase domain 17	TACE	"tumor necrosis factor, alpha, converting enzyme"	cSVP, CD156B		ENSG00000151694
ADAM18	ADAM metallopeptidase domain 18		"a disintegrin and metalloproteinase domain 18"	tMDCIII, ADAM27		ENSG00000168619
ADAM19	ADAM metallopeptidase domain 19		"a disintegrin and metalloproteinase domain 19 (meltrin beta)"	MLTNB	"meltrin beta"	ENSG00000135074
ADAM20	ADAM metallopeptidase domain 20		"a disintegrin and metalloproteinase domain 20"			ENSG00000134007
ADAM20P1	ADAM metallopeptidase domain 20 pseudogene 1	C14orf55	"chromosome 14 open reading frame 55"			ENSG00000259158
ADAM20P2	ADAM metallopeptidase domain 20 pseudogene 2					ENSG00000248574
ADAM20P3	ADAM metallopeptidase domain 20 pseudogene 3					ENSG00000249162
ADAM21	ADAM metallopeptidase domain 21		"a disintegrin and metalloproteinase domain 21"	ADAM31		ENSG00000139985
ADAM21P1	ADAM metallopeptidase domain 21 pseudogene 1	ADAM21P	"a disintegrin and metalloproteinase domain 21 pseudogene", "ADAM metallopeptidase domain 21 pseudogene"			ENSG00000235812
ADAM22	ADAM metallopeptidase domain 22		"a disintegrin and metalloproteinase domain 22"	MDC2	"metalloproteinase-like, disintegrin-like, and cysteine-rich protein 2"	ENSG00000008277
ADAM23	ADAM metallopeptidase domain 23		"a disintegrin and metalloproteinase domain 23"	MDC3		ENSG00000114948
ADAM24P	ADAM metallopeptidase domain 24, pseudogene				"a disintegrin and metalloproteinase domain 24"	ENSG00000214607
ADAM28	ADAM metallopeptidase domain 28		"a disintegrin and metalloproteinase domain 28"	eMDCII, MDC-Lm, MDC-Ls, ADAM23		ENSG00000042980
ADAM29	ADAM metallopeptidase domain 29		"a disintegrin and metalloproteinase domain 29"	svph1, CT73	"cancer/testis antigen 73"	ENSG00000168594
ADAM30	ADAM metallopeptidase domain 30		"a disintegrin and metalloproteinase domain 30"	svph4		ENSG00000134249
ADAM32	ADAM metallopeptidase domain 32		"a disintegrin and metalloproteinase domain 32"			ENSG00000197140
ADAM33	ADAM metallopeptidase domain 33	C20orf153	"a disintegrin and metalloproteinase domain 33", "chromosome 20 open reading frame 153"	DKFZp434K0521, dJ964F7.1		ENSG00000149451
ADAMDEC1	ADAM-like, decysin 1			M12.219		ENSG00000134028
ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif, 1		"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1"	C3-C5, METH1, KIAA1346		ENSG00000154734
ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif, 2		"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 2"	ADAMTS-3, hPCPNI, PCINP, ADAM-TS2, NPI	"procollagen I N-proteinase", "procollagen N-endopeptidase"	ENSG00000087116
ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif, 3		"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 3"	KIAA0366, ADAMTS-4		ENSG00000156140
ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif, 4		"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 4"	KIAA0688, ADAMTS-2, ADMP-1		ENSG00000158859
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif, 5		"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase-2)"	ADMP-2, ADAMTS11	"aggrecanase-2"	ENSG00000154736
ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif, 6		"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 6"	ADAM-TS6	"a disintegrin and metalloproteinase with thrombospondin motifs 6"	ENSG00000049192
ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif, 7		"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 7"	ADAM-TS7, DKFZp434H204	"COMPase", "a disintegrin and metalloprotease with thrombospondin motifs-7 preproprotein"	ENSG00000136378
ADAMTS7P1	ADAMTS7 pseudogene 1					
ADAMTS7P2	ADAMTS7 pseudogene 2					
ADAMTS7P3	ADAMTS7 pseudogene 3					
ADAMTS7P4	ADAMTS7 pseudogene 4					
ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif, 8		"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 8"	METH2, FLJ41712, ADAM-TS8		ENSG00000134917
ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif, 9		"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 9"	KIAA1312		ENSG00000163638
ADAMTS9-AS1	ADAMTS9 antisense RNA 1		"ADAMTS9 antisense RNA 1 (non-protein coding)"			ENSG00000241158
ADAMTS9-AS2	ADAMTS9 antisense RNA 2		"ADAMTS9 antisense RNA 2 (non-protein coding)"			ENSG00000241684
ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif, 10		"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 10"	ADAM-TS10		
ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif, 12		"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 12"			ENSG00000151388
